avg_T107,size,coordx,coordy,Label_id,batch_label,batch_label_color
3.617767810821533,52.0,-38.37565612792969,-0.4088286757469177,0,2,#1f77b4
2.7226316928863525,22.0,15.974456787109375,20.192243576049805,1,1,#aec7e8
5.098386764526367,2.0,-17.087142944335938,-59.640052795410156,2,4,#ff7f0e
3.977475643157959,37.0,15.04540729522705,-32.19358444213867,3,2,#1f77b4
2.3410468101501465,2.0,25.148880004882812,45.154136657714844,4,0,#ffbb78
5.38363790512085,19.0,60.6744499206543,-4.321002960205078,5,4,#ff7f0e
4.306807994842529,32.0,-35.47045135498047,-48.51103591918945,6,3,#2ca02c
1.2566007375717163,11.0,-29.953283309936523,58.35636901855469,7,0,#ffbb78
2.1955533027648926,17.0,26.35881233215332,46.112674713134766,8,0,#ffbb78
2.658487319946289,114.0,18.504079818725586,24.36441421508789,9,1,#aec7e8
2.69869327545166,6.0,39.885108947753906,39.635948181152344,10,1,#aec7e8
1.6187412738800049,8.0,-15.55241584777832,60.54969024658203,11,0,#ffbb78
1.362136960029602,214.0,-22.08704948425293,59.44075393676758,12,0,#ffbb78
2.200446605682373,372.0,-1.9103991985321045,33.5363883972168,13,0,#ffbb78
0.7920684814453125,4.0,-30.235122680664062,76.82352447509766,14,0,#ffbb78
0.026552461087703705,11.0,-39.07210922241211,63.4150276184082,15,0,#ffbb78
2.5005979537963867,10.0,13.115078926086426,25.736373901367188,16,1,#aec7e8
4.3125128746032715,34.0,-51.05236053466797,-36.44003677368164,17,3,#2ca02c
4.270120620727539,12.0,-18.396303176879883,-55.0723991394043,18,3,#2ca02c
4.291596412658691,8.0,2.0958733558654785,-43.56904602050781,19,3,#2ca02c
3.8378255367279053,127.0,-8.302165031433105,-32.609230041503906,20,2,#1f77b4
5.217044830322266,17.0,20.103485107421875,-55.81598663330078,21,4,#ff7f0e
3.9250824451446533,4.0,-56.27491760253906,-26.657072067260742,22,2,#1f77b4
2.974553108215332,1.0,-7.39039421081543,5.476921081542969,23,1,#aec7e8
2.2377116680145264,116.0,21.76334571838379,47.69355010986328,24,0,#ffbb78
4.169896602630615,32.0,-41.032432556152344,-54.203739166259766,25,3,#2ca02c
3.4552972316741943,6.0,-10.406153678894043,-15.00552749633789,26,2,#1f77b4
3.6900904178619385,166.0,16.789527893066406,-18.113130569458008,27,2,#1f77b4
4.921061038970947,34.0,-0.3715071976184845,-49.2823600769043,28,4,#ff7f0e
4.0053253173828125,21.0,-44.881778717041016,-1.961069941520691,29,2,#1f77b4
2.958275079727173,11.0,12.596779823303223,19.133405685424805,30,1,#aec7e8
5.323055267333984,19.0,1.4254990816116333,-79.45362854003906,31,4,#ff7f0e
3.7857887744903564,37.0,-37.7337760925293,-20.076858520507812,32,2,#1f77b4
4.3259596824646,30.0,37.480167388916016,-47.22106170654297,33,3,#2ca02c
2.8444571495056152,13.0,16.44582748413086,17.786409378051758,34,1,#aec7e8
4.469404220581055,8.0,-18.944734573364258,-56.99364471435547,35,3,#2ca02c
1.67862069606781,3.0,-18.361684799194336,44.40568161010742,36,0,#ffbb78
2.437488079071045,13.0,-3.531172513961792,37.51485824584961,37,1,#aec7e8
5.178720474243164,8.0,-1.3093087673187256,-79.31250762939453,38,4,#ff7f0e
3.4137275218963623,11.0,-3.00834059715271,-14.904829978942871,39,1,#aec7e8
4.402774810791016,16.0,-17.609111785888672,-40.860286712646484,40,3,#2ca02c
2.705705404281616,28.0,25.938785552978516,37.010189056396484,41,1,#aec7e8
3.195629358291626,326.0,0.8355321884155273,-4.9482951164245605,42,1,#aec7e8
5.314393520355225,6.0,25.416318893432617,-48.674652099609375,43,4,#ff7f0e
3.61191987991333,14.0,5.425937652587891,-19.01136589050293,44,2,#1f77b4
5.013530254364014,24.0,23.376985549926758,-34.96742630004883,45,4,#ff7f0e
5.276128768920898,4.0,30.300003051757812,-27.03820037841797,46,4,#ff7f0e
0.9780622124671936,15.0,-33.507266998291016,79.74567413330078,47,0,#ffbb78
2.248037099838257,6.0,-8.669804573059082,14.746514320373535,48,0,#ffbb78
3.654372215270996,1.0,-34.839786529541016,-17.65713119506836,49,2,#1f77b4
3.412630558013916,1.0,0.8165544867515564,-17.16114616394043,50,1,#aec7e8
4.4640398025512695,26.0,55.39284133911133,-3.879483222961426,51,3,#2ca02c
5.272187232971191,1.0,60.10382080078125,-2.758369207382202,52,4,#ff7f0e
2.3551456928253174,5.0,-0.9350391626358032,38.025672912597656,53,0,#ffbb78
3.311901092529297,18.0,6.7550835609436035,-3.228747606277466,54,1,#aec7e8
4.665940761566162,21.0,17.586870193481445,-53.40515899658203,55,3,#2ca02c
2.483893871307373,21.0,34.381507873535156,45.86856460571289,56,1,#aec7e8
2.051543951034546,52.0,1.5477626323699951,36.96471405029297,57,0,#ffbb78
3.5472168922424316,5.0,-11.491826057434082,-24.771892547607422,58,2,#1f77b4
5.040104866027832,26.0,62.577880859375,-14.492219924926758,59,4,#ff7f0e
3.900355577468872,5.0,18.917007446289062,-23.643949508666992,60,2,#1f77b4
4.425013542175293,7.0,23.853055953979492,-45.66875457763672,61,3,#2ca02c
2.3420093059539795,9.0,20.487751007080078,40.67816162109375,62,0,#ffbb78
2.5546369552612305,98.0,25.349609375,32.84777069091797,63,1,#aec7e8
3.5197579860687256,1.0,21.823129653930664,-12.003514289855957,64,2,#1f77b4
5.315878391265869,11.0,62.6466064453125,-11.468649864196777,65,4,#ff7f0e
1.8852728605270386,7.0,-5.0312933921813965,39.799583435058594,66,0,#ffbb78
3.5509419441223145,1.0,-4.06113862991333,-29.45623207092285,67,2,#1f77b4
4.606017589569092,21.0,-17.299232482910156,-57.32767868041992,68,3,#2ca02c
5.413311004638672,12.0,13.124351501464844,-59.620967864990234,69,4,#ff7f0e
5.446091651916504,15.0,-1.2476513385772705,-80.34872436523438,70,4,#ff7f0e
3.2306056022644043,2.0,-17.951547622680664,-11.701947212219238,71,1,#aec7e8
4.665988445281982,12.0,-1.9612131118774414,-46.47175216674805,72,3,#2ca02c
4.702392101287842,37.0,19.40847396850586,-50.40479278564453,73,4,#ff7f0e
4.587014198303223,5.0,-39.15923309326172,-57.00026321411133,74,3,#2ca02c
4.934270858764648,11.0,41.05539321899414,-51.136962890625,75,4,#ff7f0e
2.5272598266601562,2.0,0.18257176876068115,4.784898281097412,76,1,#aec7e8
0.6444185972213745,17.0,-31.947431564331055,69.24886322021484,77,0,#ffbb78
3.6882262229919434,2.0,-32.417869567871094,-14.65511703491211,78,2,#1f77b4
4.570706367492676,2.0,17.902578353881836,-34.0069580078125,79,3,#2ca02c
4.212876319885254,7.0,8.151436805725098,-32.7938232421875,80,3,#2ca02c
4.602406024932861,6.0,34.97828674316406,-24.752410888671875,81,3,#2ca02c
3.4393398761749268,9.0,5.567952632904053,-19.277727127075195,82,2,#1f77b4
1.096258521080017,12.0,-35.28634262084961,76.48563385009766,83,0,#ffbb78
5.0651116371154785,10.0,36.61544418334961,-15.875692367553711,84,4,#ff7f0e
4.725123882293701,69.0,27.561025619506836,-30.929546356201172,85,4,#ff7f0e
4.98974084854126,6.0,58.70658874511719,-1.6456161737442017,86,4,#ff7f0e
3.993136167526245,18.0,-39.00916290283203,-14.385750770568848,87,2,#1f77b4
4.361923694610596,4.0,39.630218505859375,-46.65650939941406,88,3,#2ca02c
3.169412612915039,14.0,15.513651847839355,3.8019001483917236,89,1,#aec7e8
4.0291924476623535,35.0,-46.498085021972656,-55.39555358886719,90,2,#1f77b4
2.0303986072540283,2.0,23.337154388427734,47.160972595214844,91,0,#ffbb78
3.4204795360565186,109.0,-25.26170539855957,-11.087746620178223,92,1,#aec7e8
5.279891014099121,8.0,62.75691604614258,-10.313711166381836,93,4,#ff7f0e
0.987943708896637,12.0,-30.246923446655273,67.04387664794922,94,0,#ffbb78
3.7827179431915283,69.0,-54.137542724609375,-25.824167251586914,95,2,#1f77b4
4.378162384033203,2.0,-41.54664611816406,-57.194664001464844,96,3,#2ca02c
3.648862361907959,2.0,15.625669479370117,-23.979503631591797,97,2,#1f77b4
